unique_id,address,tree_number,centroid_lat,centroid_lon,spread_meters,sample_count,confidence
 Byängsgränd | Träd 1, Byängsgränd,Träd 1,59.28730307083333,18.055092990277778,31.338750067879275,6,LOW
 Byängsgränd | Träd 10, Byängsgränd,Träd 10,59.28781309861111,18.05379001388889,17.79245880303338,6,MEDIUM
 Byängsgränd | Träd 11, Byängsgränd,Träd 11,59.287906630555554,18.053579362500003,22.714008712788008,6,LOW
 Byängsgränd | Träd 12, Byängsgränd,Träd 12,59.2879467625,18.0535120625,24.086601066007276,6,LOW
 Byängsgränd | Träd 13, Byängsgränd,Träd 13,59.288006348611106,18.05341061805556,6.430662550131788,6,HIGH
 Byängsgränd | Träd 14, Byängsgränd,Träd 14,59.28801262499999,18.053372648611113,21.30414985273969,6,LOW
 Byängsgränd | Träd 2, Byängsgränd,Träd 2,59.28733680277777,18.055028669444447,14.157693131477519,6,MEDIUM
 Byängsgränd | Träd 3, Byängsgränd,Träd 3,59.28733581805555,18.054951638888888,8.033439734246778,6,HIGH
 Byängsgränd | Träd 4, Byängsgränd,Träd 4,59.287330893055554,18.054905023611113,8.786830758457123,6,HIGH
 Byängsgränd | Träd 5, Byängsgränd,Träd 5,59.287394569444444,18.054731498611112,7.022503858762123,6,HIGH
 Byängsgränd | Träd 6, Byängsgränd,Träd 6,59.28751777916666,18.054442231944446,14.97814290361285,6,MEDIUM
 Byängsgränd | Träd 7, Byängsgränd,Träd 7,59.28760836111111,18.054259847222223,11.641679590320713,6,MEDIUM
 Byängsgränd | Träd 8, Byängsgränd,Träd 8,59.287677155555556,18.05410543611111,13.47749112477408,6,MEDIUM
 Byängsgränd | Träd 9, Byängsgränd,Träd 9,59.28772719444444,18.053939859722224,8.996538990675296,6,HIGH
Alingsåsvägen 35/Tidaholmsplan 27 | Träd 1,Alingsåsvägen 35/Tidaholmsplan 27,Träd 1,59.293635977777775,18.103120526388892,21.67283613123008,6,LOW
Alingsåsvägen 38 | Träd 1,Alingsåsvägen 38,Träd 1,59.293592876388885,18.103329875,7.842588866392996,4,HIGH
Alsnögatan | Träd 1,Alsnögatan,Träd 1,59.31225185277778,18.101311900000002,85.13302418086778,4,LOW
Alviksvägen 132 | Träd 1,Alviksvägen 132,Träd 1,59.3202469,17.96991829972222,8.455514374594063,15,HIGH
Alviksvägen 155 | Träd 1,Alviksvägen 155,Träd 1,59.3184892,17.96578979972222,15.567743509884282,15,MEDIUM
Alviksvägen 172 | Träd 1,Alviksvägen 172,Träd 1,59.317525799722226,17.961769099999998,11.411005106117162,23,MEDIUM
Atlasmuren 3/Vörlundavägen | Träd 1,Atlasmuren 3/Vörlundavägen,Träd 1,59.33763989972223,18.038171972222223,18.570317630605885,11,MEDIUM
