unique_tree_id,address,tree_number,median_lat,median_lon,coord_count,task_count,lat_spread,lon_spread
"Separatorn  Taket, Regulatorvägen 31 | Sedum yta 2 (plan 7)","Separatorn  Taket, Regulatorvägen 31",Sedum yta 2 (plan 7),59.218880499722225,17.95481799972222,3,8,0.00010950000000065074,0.0001486002777753015
"Separatorn Gata, Regulatorvägen 31 | Sedumyta 4b","Separatorn Gata, Regulatorvägen 31",Sedumyta 4b,59.2190043,17.95340114972222,2,7,1.4600000000086766e-05,2.5299999997230316e-05
"Separatorn  Taket, Regulatorvägen 31 | Ängs yta 2","Separatorn  Taket, Regulatorvägen 31",Ängs yta 2,59.21892149986111,17.95385614986111,2,8,0.0002400002777775967,0.0004001002777798135
"Separatorn  Taket, Regulatorvägen 31 | Ängs yta 4","Separatorn  Taket, Regulatorvägen 31",Ängs yta 4,59.21905699972223,17.954095499999998,3,8,0.00013230027777666464,0.0002896999999997263
"Separatorn Gata 2, Regulatorvägen 31 | Sedum 14","Separatorn Gata 2, Regulatorvägen 31",Sedum 14,59.2193283,17.95454319972222,1,19,0.0,0.0
"Separatorn  Taket, Regulatorvägen 31 | Ängs yta 3","Separatorn  Taket, Regulatorvägen 31",Ängs yta 3,59.2191842,17.9539535,3,8,0.00026469972222287197,0.0004251002777806434
"Separatorn  Taket, Regulatorvägen 31 | Ängs yta 1","Separatorn  Taket, Regulatorvägen 31",Ängs yta 1,59.2188244,17.954495999722223,3,8,3.920027777581936e-05,0.00037700000000029377
"Separatorn  Taket, Regulatorvägen 31 | Sedum yta 3 (plan 6)","Separatorn  Taket, Regulatorvägen 31",Sedum yta 3 (plan 6),59.218763799722225,17.95464059972222,4,8,4.7199999997360464e-05,9.379972222234301e-05
"Separatorn  Taket, Regulatorvägen 31 | Sedum yta 1 (plan 6,5)","Separatorn  Taket, Regulatorvägen 31","Sedum yta 1 (plan 6,5)",59.21930294986112,17.95407555,2,7,2.6997222235536356e-06,0.00010909999999952902
"Separatorn  Taket, Regulatorvägen 31 | Hårdgjord yta","Separatorn  Taket, Regulatorvägen 31",Hårdgjord yta,59.21895034986112,17.9544267,2,7,0.00015949972222273345,0.00016339999999814836
"Separatorn Gata, Regulatorvägen 31 | Sedum yta på miljörum tak","Separatorn Gata, Regulatorvägen 31",Sedum yta på miljörum tak,59.21900839972223,17.953397299722223,1,6,0.0,0.0
Ålstaskolan E2 | Träd 13,Ålstaskolan E2,Träd 13,59.41743089986111,17.870961399722223,2,24,9.50002777813097e-05,9.239999999977044e-05
Malongenparken | Planterings yta 3 (36 m²),Malongenparken,Planterings yta 3 (36 m²),59.31129804972222,18.08532364986111,8,12,7.880027777673604e-05,0.00010729999999981032
Ålstaskolan E2 | Träd 11,Ålstaskolan E2,Träd 11,59.41730879972222,17.870887949861114,2,24,0.0001087999999995759,1.5900277777092242e-05
Ålstaskolan E2 | Träd 15,Ålstaskolan E2,Träd 15,59.41752319972222,17.87099835,2,24,2.5600000000736145e-05,3.829999999993561e-05
Malongenparken | Planterings yta 2 (28 m²),Malongenparken,Planterings yta 2 (28 m²),59.31135374986111,18.08518544972222,8,12,5.9099722221844786e-05,0.0002212002777781663
Malongenparken | Planterings yta 4 (60 m²),Malongenparken,Planterings yta 4 (60 m²),59.31124814972222,18.08546225,8,12,0.000108999722222336,0.0002252997222242925
Vårbergstoppen E2 | Gräsyta 2,Vårbergstoppen E2,Gräsyta 2,59.27248999986111,17.88056545,2,3,5.8002777763022095e-06,5.870000000030018e-05
Ålstaskolan E2 | Träd 12,Ålstaskolan E2,Träd 12,59.41741439972222,17.87098319986111,2,24,2.5600000000736145e-05,0.00015519972222222123
Malongenparken | Solitär 4,Malongenparken,Solitär 4,59.311312349722215,18.085236599861112,8,12,0.00011450000000223781,0.0002306002777778815
Vårbergstoppen E2 | Träd 8,Vårbergstoppen E2,Träd 8,59.2730624,17.8815856,21,25,0.0003677000000052999,0.0005241997222213968
Vårbergstoppen E2 | Träd 4,Vårbergstoppen E2,Träd 4,59.272576,17.8806912,21,24,0.000655800000004092,0.0009392000000012501
Ålstaskolan E2 | Träd 14,Ålstaskolan E2,Träd 14,59.417503999999994,17.87092879986111,2,24,2.5599999993630718e-05,2.7200277777694737e-05
Ålstaskolan E2 | Träd 10,Ålstaskolan E2,Träd 10,59.41728,17.870774399861112,2,24,3.839999999399879e-05,3.2000277776944586e-05
Vårbergstoppen E2 | Träd 2,Vårbergstoppen E2,Träd 2,59.27321599972222,17.8811554,21,24,0.00024319999999988795,0.0004463000000001216
Malongenparken | Solitär 2,Malongenparken,Solitär 2,59.31131499986111,18.08521424986111,8,12,8.449999999982083e-05,0.0002782000000003393
Vårbergstoppen E2 | Träd 15,Vårbergstoppen E2,Träd 15,59.27258739972222,17.8834713,21,24,0.00019740000000467717,0.00038079972222249125
Ålstaskolan E2 | Träd 1,Ålstaskolan E2,Träd 1,59.41714879986111,17.87042399986111,2,23,1.9199722217422277e-05,0.0001567997222231554
Ålstaskolan E2 | Träd 18,Ålstaskolan E2,Träd 18,59.417491199861104,17.87082959972222,2,24,8.959972222299939e-05,2.3999999999801958e-05
Malongenparken | Planterings yta 5 (50 m²),Malongenparken,Planterings yta 5 (50 m²),59.311180899861114,18.0856097,8,12,6.520000000165282e-05,0.0001736997222216985
Malongenparken | Planterings yta 1 (60 m²),Malongenparken,Planterings yta 1 (60 m²),59.311381149861106,18.0851598,8,12,0.00010819999999966967,0.00013440000000031205
Vårbergstoppen E2 | Träd 14,Vårbergstoppen E2,Träd 14,59.2727144,17.88354029986111,20,24,0.00014080027778362592,0.0003655002777804839
Malongenparken | Träd 10,Malongenparken,Träd 10,59.3113055498611,18.085616799861107,8,12,0.00011369999999999436,0.00021100000000018326
Ålstaskolan E2 | Träd 2,Ålstaskolan E2,Träd 2,59.41711999972222,17.870491999861112,2,23,0.0,0.00013600027777727064
Vårbergstoppen E2 | Träd 6,Vårbergstoppen E2,Träd 6,59.2730624,17.881374799722224,21,24,0.00013440000000031205,0.0006416999999991901
Ålstaskolan E2 | Träd 9,Ålstaskolan E2,Träd 9,59.4172128,17.8707936,2,24,9.600000000631326e-05,6.400000000184036e-06
Malongenparken | Solitär 3,Malongenparken,Solitär 3,59.3113317,18.0851929,8,12,6.319999999959691e-05,0.00010049972222248016
Malongenparken | Träd 1,Malongenparken,Träd 1,59.3113538998611,18.08519844986111,8,12,9.339972221766857e-05,0.0002744999999997333
Malongenparken | Planterings yta 6 (66 m²),Malongenparken,Planterings yta 6 (66 m²),59.311117249999995,18.08573055,8,12,0.00013359972221849148,0.00034760027777736013
Vårbergstoppen E2 | Träd 5,Vårbergstoppen E2,Träd 5,59.27279359972222,17.881044299722223,21,24,0.0004096000000046729,0.00047580000000024825
Vårbergstoppen E2 | Träd 1,Vårbergstoppen E2,Träd 1,59.273452999999996,17.880777999722223,21,24,0.0005972999999954709,0.0005790997222234751
Vårbergstoppen E2 | Träd 3,Vårbergstoppen E2,Träd 3,59.2731008,17.8813408,21,26,0.0003071997222221512,0.000391699722221972
Malongenparken | Solitär 6,Malongenparken,Solitär 6,59.311294649722214,18.08536804986111,8,12,5.8599722223107165e-05,7.599999999996498e-05
Malongenparken | Träd 7,Malongenparken,Träd 7,59.31129479972222,18.08541864972222,8,12,0.00010949999999354532,8.879999999678034e-05
Ålstaskolan E2 | Träd 6,Ålstaskolan E2,Träd 6,59.41707875,17.870539149861113,2,24,0.00012090000000597456,8.649972222229962e-05
Vårbergstoppen E2 | Träd 9,Vårbergstoppen E2,Träd 9,59.272908799999996,17.8823247,21,24,0.00016090027777693194,0.0007797002777785167
Ålstaskolan E2 | Träd 8,Ålstaskolan E2,Träd 8,59.417157249999995,17.870741249861112,2,24,9.190000000103282e-05,2.970027777848827e-05
Vårbergstoppen E2 | Träd 12,Vårbergstoppen E2,Träd 12,59.272832,17.883110399722224,21,24,0.0002283002777829779,0.0005582997222219888
Ålstaskolan E2 | Träd 4,Ålstaskolan E2,Träd 4,59.4170496,17.870478399861113,2,24,6.400000000184036e-05,0.0001183997222220512
Ålstaskolan E2 | Träd 3,Ålstaskolan E2,Träd 3,59.41704959972222,17.870503199861112,2,23,2.5600000000736145e-05,0.0001488002777776387
Malongenparken | Träd 9,Malongenparken,Träd 9,59.311193949999996,18.08563784986111,8,12,0.00010699999999985721,0.00016450027777992204
Ålstaskolan E2 | Träd 16,Ålstaskolan E2,Träd 16,59.41756739986111,17.87107165,2,24,6.280027778160502e-05,0.0001318999999995185
Vårbergstoppen E2 | Träd 13,Vårbergstoppen E2,Träd 13,59.27280439972222,17.883392499722223,21,24,0.00033119972221840044,0.0005814002777775329
Malongenparken | Planterings yta 7 (13 m²),Malongenparken,Planterings yta 7 (13 m²),59.311293799999994,18.08561579986111,8,12,0.00016520027777744417,0.00033329972222162496
Ålstaskolan E2 | Träd 17,Ålstaskolan E2,Träd 17,59.417516799999994,17.870937599722225,2,24,0.0,0.00014080000000049608
Ålstaskolan E2 | Träd 5,Ålstaskolan E2,Träd 5,59.41714879986111,17.87049279972222,2,24,9.599972221963071e-05,0.00032320000000041205
Malongenparken | Solitär 8,Malongenparken,Solitär 8,59.311257899861104,18.08548584986111,8,12,0.0001471999999935747,0.00010989972222219535
Ålstaskolan E2 | Träd 7,Ålstaskolan E2,Träd 7,59.4171007998611,17.870658399861114,2,24,8.959972222299939e-05,3.999972222246129e-05
Vårbergstoppen E2 | Träd 10,Vårbergstoppen E2,Träd 10,59.2729555,17.882370399722223,21,25,0.00023659999999381398,0.00023599972222143606
Vårbergstoppen E2 | Träd 11,Vårbergstoppen E2,Träd 11,59.27288169972222,17.882906399722224,21,24,0.00023759999999839465,0.00044550027777745527
Malongenparken | Träd 5,Malongenparken,Träd 5,59.31129834972222,18.08530584972222,8,12,8.670000000421396e-05,0.00014580027777810756
Vårbergstoppen E2 | Gräsyta 1,Vårbergstoppen E2,Gräsyta 1,59.272904499999996,17.8822501,3,5,3.2700000005547736e-05,0.00022839972222143956
Vårbergstoppen E2 | Träd 7,Vårbergstoppen E2,Träd 7,59.2730788,17.881431299722223,21,25,0.00049109972221828,0.0005364999999990516
"Separatorn  Taket, Regulatorvägen 31 | Barr buske 18","Separatorn  Taket, Regulatorvägen 31",Barr buske 18,59.2190074,17.9538881,1,22,0.0,0.0
Ullerudsbacken | Gräsyta 3,Ullerudsbacken,Gräsyta 3,59.236040699722224,18.108375999722224,21,25,0.00019180027777565556,0.0005248000000008801
Medaljonggatan | Träd 8,Medaljonggatan,Träd 8,59.282859849722215,17.998760999861112,20,22,0.0003129997222188763,0.0005227002777772327
Brålunden 2 | Träd 2,Brålunden 2,Träd 2,59.33096319972223,17.929694399722223,35,46,0.00035932777777958336,0.0003452002777777352
Vandenbergh Strandpromenad | Ängsyta 11,Vandenbergh Strandpromenad,Ängsyta 11,59.36271429986111,17.9570184,12,21,0.00027559972222235274,0.0006492002777811479
Vandenbergh Strandpromenad | Solitär 11,Vandenbergh Strandpromenad,Solitär 11,59.362571099722224,17.9571543,14,22,0.00046839972222301185,0.0001851997222246382
"Separatorn  Taket, Regulatorvägen 31 | Solitär 15","Separatorn  Taket, Regulatorvägen 31",Solitär 15,59.219031,17.953864199999998,1,22,0.0,0.0
Brålunden 2 | Gräs yta 8,Brålunden 2,Gräs yta 8,59.33135456666667,17.929811483194445,32,36,0.0002496002777760964,0.0004187108333333356
"Bredängsvägen 31 | Blomsteräng 13, klipp ej (1000 L)",Bredängsvägen 31,"Blomsteräng 13, klipp ej (1000 L)",59.290807199999996,17.9469935,21,23,0.04607330027776868,0.11761810000000139
Vandenbergh Strandpromenad | Ängsyta 7,Vandenbergh Strandpromenad,Ängsyta 7,59.36308174986111,17.95617079986111,12,21,0.00013819972222250954,0.00033889972221956555
Vandenbergh Strandpromenad | Plantering yta 9 (64 m2),Vandenbergh Strandpromenad,Plantering yta 9 (64 m2),59.3624592,17.95734619972222,13,22,0.000256000000000256,0.0010054000000003782
"Separatorn  Taket, Regulatorvägen 31 | Solitär 1","Separatorn  Taket, Regulatorvägen 31",Solitär 1,59.2188297,17.9546433,1,22,0.0,0.0
Brålunden 2 | Planterings yta 1,Brålunden 2,Planterings yta 1,59.33162361111111,17.931166383194444,32,36,0.00020690000000200826,0.0007316999999993357
Medaljonggatan | Träd 10,Medaljonggatan,Träd 10,59.28285119986111,17.998894200000002,20,22,0.00026019999999959964,0.000539800277778113
Vandenbergh Strandpromenad | Träd 16,Vandenbergh Strandpromenad,Träd 16,59.362316499722226,17.957560749722223,14,22,0.0003067002777825678,0.0004520999999968467
Medaljonggatan | Träd 12,Medaljonggatan,Träd 12,59.28249205,17.999287099861114,20,22,0.0004800002777827217,0.0006872997222231447
"Separatorn  Taket, Regulatorvägen 31 | Barr buske 5","Separatorn  Taket, Regulatorvägen 31",Barr buske 5,59.2188383,17.95434709972222,1,22,0.0,0.0
Bredängsvägen 31 | Träd 4,Bredängsvägen 31,Träd 4,59.29097559986111,17.9468189,34,47,0.0004979724999998325,0.0012301999999984048
Brålunden 2 | Gräs yta 10,Brålunden 2,Gräs yta 10,59.331135099722225,17.930096411111112,34,36,0.000314600277775412,0.0011128222222218653
